Title,published_date,Views,Comments,Likes
Is Data Science Dying?,2021-11-19T13:00:01Z,125784,360,3904
7 Incredible Books That Transformed My Health and My Life,2021-11-12T13:00:04Z,8545,113,398
Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05T13:00:23Z,3647,44,202
Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29T12:00:01Z,14173,39,305
ML Ops: What is it REALLY?,2021-10-22T13:00:00Z,7255,66,285
Business Skills for Data Science: What are they REALLY?,2021-10-18T13:00:27Z,6935,50,303
#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12T16:05:54Z,2219,5,122
Roasting My First Data Science Project (Common Project Mistakes),2021-10-08T13:00:15Z,6024,64,283
Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20T13:00:20Z,13068,108,534
Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07T14:00:11Z,10372,32,437
Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06T23:04:24Z,42223,32,1626
How I Learned to Learn.,2021-07-31T13:00:26Z,51018,209,2359
Is Spotify Shuffle Really Random? #Shorts,2021-07-21T13:00:21Z,11235,51,609
I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16T21:30:26Z,2467,30,92
Why are APIs Important for Data Science?,2021-07-09T13:00:32Z,10663,95,470
Is Your Phone REALLY Listening to You?,2021-07-03T13:00:31Z,5256,116,279
Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25T13:00:12Z,17122,123,645
#66DaysOfData - 3 Reasons to Start!,2021-06-18T13:00:32Z,4119,41,225
#66DaysOfData - What is it? #shorts,2021-06-11T12:48:29Z,9512,54,400
A Quick Data Science Project Tip! #SHORTS,2021-06-03T13:00:06Z,16975,89,1032
Discouraged with Data Science? - Watch THIS video.,2021-05-28T13:00:02Z,7546,195,391
How Data Science Projects Pay Off,2021-05-22T13:30:03Z,11044,146,609
How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14T13:00:03Z,10751,134,490
What is a lambda function (python)? #shorts,2021-05-13T00:38:55Z,16154,49,979
Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07T13:00:30Z,33967,63,1750
What is Pandas? (Data & Data Science) #shorts,2021-04-30T13:00:07Z,25142,85,1293
The 7 Biggest Data Science  Beginner Mistakes,2021-04-23T13:00:14Z,77726,284,3437
Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16T13:00:00Z,23670,85,697
Why You Probably Won't Become a Data Scientist,2021-04-09T13:00:31Z,139191,474,4037
How to Go From Data Analyst to Data Scientist,2021-04-02T13:00:14Z,55470,178,1575
Why I Have 2 Offices for Data Science & Content Creation,2021-03-26T13:00:03Z,4025,92,139
MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19T13:00:32Z,18812,108,361
My Regrets as a Data Science Student,2021-03-12T13:00:27Z,24103,112,883
My Daily Battle With Time - Will I Win? [Vlog],2021-03-08T13:00:06Z,3853,83,195
What is the Future of my Comment Leaderboard Project?,2021-02-26T14:00:15Z,5611,81,201
How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19T13:00:14Z,7043,51,176
Why I Quit Data Science,2021-02-12T13:00:19Z,105520,345,2352
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29T13:00:06Z,10830,116,563
How I Balance Data Science and Content Creation (7 Secrets),2021-01-23T14:00:30Z,7041,126,293
Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16T14:00:10Z,10243,52,312
Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08T13:00:16Z,23981,134,710
Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02T14:00:26Z,40052,148,1171
What is the #66DaysOfData?,2020-12-26T14:00:31Z,70976,200,2336
How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19T14:00:01Z,131809,488,5950
Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10T13:00:09Z,11165,133,403
I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07T14:00:11Z,23792,324,725
7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20T13:00:26Z,28758,160,872
6 Lessons from #66DaysOfData,2020-11-13T13:00:02Z,6783,93,338
100K Channel Update + AMA Stream!,2020-11-12T17:34:26Z,2324,21,126
Find a Data Science Project With These 3 Techniques,2020-11-06T13:00:13Z,17091,106,734
How I Chose My Masters Degree for Breaking into Data Science,2020-10-30T14:00:07Z,28329,155,692
git for Data Science Made Simple... (Hopefully),2020-10-23T15:00:10Z,21702,90,915
The PODCAST you might have asked for?,2020-10-19T15:00:11Z,2129,44,93
Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16T15:00:18Z,6812,113,451
Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14T15:00:11Z,14789,47,428
Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12T15:00:00Z,7128,62,150
5 Unusual Data Science Projects that Will Land You a Job,2020-10-09T15:00:09Z,12496,83,584
Sh*t Data Scientists Say (Parody),2020-10-05T15:00:08Z,9751,144,581
5 Proven Strategies to Break into a Data Science Job,2020-10-02T15:00:08Z,8646,93,364
Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30T15:00:09Z,7108,61,286
Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28T15:00:04Z,12023,69,290
5 Essential Data Science Projects for Your Portfolio,2020-09-26T15:00:06Z,74601,207,3138
His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23T15:00:02Z,5247,64,200
Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21T15:00:03Z,14334,60,535
"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18T16:00:10Z,7572,34,253
Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16T15:00:24Z,5130,56,197
Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14T15:00:00Z,4378,35,157
The 5 Pillars of Success I Live By,2020-09-11T15:00:11Z,10168,152,871
Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09T15:00:12Z,1900,25,79
Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07T15:00:30Z,4068,43,165
