author,updated_at,like_count,text,public
@danielbostwick2975,2021-05-01T05:43:10Z,0,# to append income$income.level=income.level,True
@Ddr-smith7947,2021-02-25T19:32:48Z,1,"Thank you, so straightforward",True
@abhijithgopalakrishna5746,2021-01-01T10:25:15Z,0,"Error in lenght(income$average.income) : could not find function ""lenght""  please advice",True
@yousif533,2020-04-07T19:18:21Z,0,"How can we use the same procedure if we need to change the name of city in column city ? for example,  we need to change the name of San Francisco to SF?",True
@yousif533,2020-04-07T18:50:52Z,0,Could you please share R code of your examples for all videos?,True
