author,updated_at,like_count,text,public
@bobtarmac1828,2023-05-12T14:38:39Z,1,Losing your job to ai agents is unacceptable. Ai Jobloss is here. So are Ai as weapons. Can we please find a way to Cease Ai / GPT? Or begin Pausing Ai before it’s too late?,True
@TheD3adlysin,2023-05-12T00:02:39Z,0,I mean no disrespect to you for this but you appear to me to be  a person chasing the latest industry boom in the stock market. Meanwhile the people of need will be the ones making advancements so fast you won't be able to buy the next big boom stock.   Did you know A.I. is even going to impact 3d printer industry too,True
@itsanishjain,2023-05-11T13:08:36Z,0,Hey Jay if any one is complete new what are some best resources you recommend  to learn this new world eating teach and how to keep updated with all this. this is so much and so fast.,True
@ac695,2023-05-09T19:31:49Z,0,Hi Jay Where does a company like Modular fit in the AI stack?,True
@hishamk,2023-05-08T14:17:48Z,0,حتى :),True
