author,updated_at,like_count,text,public
@Datasciencedojo,2023-03-31T21:57:23Z,0,"Hello everyone, you can find all the remaining tutorials here: https://www.youtube.com/playlist?list=PL8eNk_zTBST-Yjhzsvnq075UntUkhMLcz",True
@apollosbangalu3717,2023-08-04T08:12:50Z,0,"Hello? Thank you for the video. Please, I would like to learn more about semantic Search.",True
@anapaunovic8405,2023-06-15T15:27:45Z,2,Is there a link for this notebook?,True
@brijboda,2023-05-04T14:16:03Z,0,"Hello Hamza, Thank you for the video. I am not from Computer science background but still I could follow this explanation. Can you please elaborate how to create a database for the search engine? Like you combined all the comments and now query will go into this database for all the further process. And how you applied embedding part and all reviews got converted into dataframe ?",True
