author,updated_at,like_count,text,public
@statquest,2022-05-09T20:49:03Z,0,Support StatQuest by buying The StatQuest Illustrated Guide to Machine Learning!!! PDF - https://statquest.gumroad.com/l/wvtmc Paperback - https://www.amazon.com/dp/B09ZCKR4H6 Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC,True
@vanya.antonov,2017-07-28T14:41:35Z,1,Very nice song -- I can relate my experiences to it too. Has had some friends moving abroad as well..,True
@yankeedoodle5302,2017-05-27T02:23:37Z,2,Very nice song ! did you compose it and sing by yourself ?,True
