author,updated_at,like_count,text,public
@karthikrams904,2021-01-30T14:11:55Z,0,Thanks Krish !,True
@datakube3053,2021-01-29T17:16:04Z,1,its very helpful thanks,True
@amankharwal8612,2021-01-29T15:41:52Z,1,Great work,True
@PiyushKumar-tv6dr,2021-01-29T15:11:38Z,1,"sir, i got a call from Merkle i cleared all the rounds in the interview but sir it turned out to be a fraud...I saw that update on their LinkedIn page... completely disappointed after getting so close...even the mail id and everything was looking quite authentic but....",True
@codeforcoders69,2021-01-29T14:57:44Z,2,Who is watching after 1M subscribes,True
@asiftandel8750,2021-01-29T14:24:16Z,3,Great Video Sir,True
@prashanth6848,2021-01-29T14:20:33Z,3,Very helpful thanks.,True
@AlgorithmExplorers,2021-01-29T14:10:59Z,3,First one,True
