author,updated_at,like_count,text,public
@syedaummehabiba,2024-05-30T23:24:21Z,0,I said that to my math teacher and they said it way has always been this way😭now what is that supposed to mean,True
@Khaotic_Gaming,2023-12-03T00:35:53Z,0,m x c thou? multpi x collums  i am right  idk mabye ia m influnsed by the previs,True
@kunalsoni7681,2023-11-20T06:50:56Z,1,😌💯💯💯💯,True
@alftitolito,2023-04-20T15:20:20Z,19,Just call them mows and nollums,True
@poketopa1234,2023-04-18T17:01:46Z,4,"Best video on the internet, MxN is a crime!",True
@lucianaaguiar2244,2023-04-17T18:03:32Z,1,Awsome 😂😂,True
@electro20_7,2023-04-16T08:54:14Z,4,Bro I used to watch you like 5 years ago and your on my subscription bro this is true life bro,True
@vamshiharshik6495,2023-04-16T06:46:31Z,1,sir is there any deep learning book  available of yours ?,True
@Sai_800,2023-04-16T04:30:20Z,2,It makes more sense! I used to be confused about mxn Matrix 🥲 That m is row or column 🥲,True
