author,updated_at,like_count,text,public
@shukkkursabzaliev1730,2024-04-15T06:44:11Z,0,"Great as usual) One question though, why Lighting AI ?",True
@timfugl9075,2024-01-08T22:47:57Z,3,I love you josh,True
@snjena,2023-03-26T17:28:38Z,3,really catching loved it,True
@d_b_,2023-03-23T12:17:47Z,0,"Are there more than two error types? Why didn't they make it friendlier to remember and call them ""FN Errors"" if it's for shortening",True
@adan8657,2023-03-21T19:22:41Z,1,Got it,True
@yasharthsrivastava3428,2023-03-20T12:06:56Z,0,I think type 1 error and type 2 error has been interchanged... You can cross check,True
