author,updated_at,like_count,text,public
@sachin143ful,2020-09-22T06:33:19Z,0,"Hi Where can I find  Live In-depth Discussion Of PyCaret Automated Machine Learning Library Part 1 ?",True
@sajidchoudhary1165,2020-08-22T09:19:50Z,0,"Sir Please makes video on Mathematics behind on  SVM Regression, AdaBoost Regression, Gradient Boost Classification",True
@cachmearavind,2020-08-02T08:14:16Z,0,"Hi Krish for feature selection combination of Adaboost ,random forest and linear correlation is used here in pycaret.is it possible to explain how to do it manually by combining several methods",True
@srikanthrachakulla5488,2020-07-30T12:40:10Z,0,Hi Krish... If possible please share video on production deployed model monitoring and retraining techniques,True
@saaiiraman1809,2020-07-28T14:04:00Z,0,Sir Is there any programming language are used for electrical engineering background students ?,True
@hrishikeshnamboothiri.v.n2195,2020-07-28T11:10:51Z,0,Hi sir. I completed my graduation in 2015. After that I worked for 1.5years then I quit the job. Now I wish to be a data scientist. What should I do?,True
@taherkayamkhani8214,2020-07-28T02:40:09Z,1,Can you please upload the notebook for this session.,True
@kuppuswamyr4360,2020-07-27T16:29:47Z,1,"Sir,can we use anvil for deploying ml models",True
