author,updated_at,like_count,text,public
@alexandernight52,2014-11-23T07:50:54Z,0,ifconfig = InterFaceConfig,True
@bcextra,2013-10-20T15:01:00Z,0,thanks man,True
@sentdex,2013-09-11T17:55:51Z,0,"I am not sure. For truly remote connections, outside of the network, I would just suggest you use SSH, which uses 22.",True
@sentdex,2013-09-11T17:55:02Z,0,"Awesome, thanks :)",True
@jonathantrombley4464,2013-09-11T17:31:51Z,0,ifconfig stands for interface configuration,True
@alinbcu,2013-09-05T16:38:58Z,0,"Hello friend, Thank you very much for this tutorial, everything is going perfect on the local network, but for outside connection which port i have to forward, 3389? Thank you in advance",True
