author,updated_at,like_count,text,public
@sindusaravanan8989,2023-08-14T17:01:41Z,0,"Hi alex , I am following your free DA bootcamp ,is that enough for a fresher  DA to know...",True
@jacobmensah5749,2023-08-12T18:08:31Z,0,@Alex I have been following you I will be glad for you to mentor me I appreciate what you are doing. How can you mentor me I am a newbie from ghana,True
@dominionjoshua677,2023-08-10T21:13:14Z,0,"Hello Alex, thanks for the amazing free resources available on your YouTube channel for data analytics.  I started going through your videos, however I haven't been able to follow through completely cos I am using a MacBook. Any recommendations on how I can follow through?",True
@MoniqueEbony3,2023-08-09T21:47:10Z,0,Hi Alex How do I download SQL on a MacBook . I’m interested in doing the bootcamp.,True
@husseinhadliye2992,2023-08-08T17:45:27Z,2,"Hi @alex i have a question, i used REGEX in programming languages like php so why did you make a video from it does it related to a Data analyst because this is the thing that we used to know from your videos",True
@MinatoJunior-hl8tb,2023-08-08T13:00:02Z,0,Hi i have a question are you able to use jupyter notebook on videos? I saw i can use it in youtube videos. Like i dont need permission to use it on my own videos for example.,True
@s.w.5169,2023-08-08T12:07:46Z,3,"Hey Alex, when can we expect the launch of your website?",True
