author,updated_at,like_count,text,public
@ravikishoremoritala1652,2021-04-16T16:05:12Z,0,"Hi Krish,  I want to explore opportunities as a freelancer or consultant in DS space.. I have extensive bfsi experience..I do my own projects on open data sets that have use cases similar to being doned by some firms..  Can you suggest how i can start my attempts  here..",True
@subhamhalder5786,2021-04-16T15:39:30Z,0,Sir can we get video lectures as recorded if we miss any class?,True
@vinaybhushan9327,2021-04-16T15:37:29Z,0,"Hi Krish,  I was following your cardekho project. But while implementing I am getting more error and less accuracy. Even after hyper parameter tuning I got less accuracy than base model which is random forest regressor. Can you help me what can I do?",True
@saravana4285,2021-04-16T15:20:26Z,0,Great !!,True
@saravana4285,2021-04-16T15:20:03Z,0,"Hi krish , how is the job market for artificial intelligence ? , and how ML /AI is connected to VR/MR (virtual reality) ?",True
