author,updated_at,like_count,text,public
@DGA2000,2023-04-09T15:46:08Z,0,Handy little script. Thank you with a big thumbs up!,True
@0568345374,2017-09-28T18:40:37Z,1,"and what about a=[1,2,3,4,5] a.revese() print(a) good luck",True
@bretaddison4146,2017-03-28T20:01:13Z,4,what about [::-1],True
@brandonray197,2016-03-08T01:10:03Z,0,"how would you go about doing this with names or words, while keeping the words straight?",True
@szenghoe,2014-10-14T12:10:19Z,2,"you can do this: >>>a = [1,2,3,4,5] >>>a.reverse() >>>print a [5,4,3,2,1]",True
@Colstonewall,2013-11-30T19:59:26Z,0,Great video. . .your the 1st person I've seen using 'reversed'. Normally I see people using a negative slice. I learn something new everyday!,True
@russici,2013-11-30T02:19:59Z,2,"Thanks a lot for a great video! Another way to reverse order of a list in Python: x = [1,2,3,4,5,6,7,8,9]. z = x[::-1] should give the reversed order of a list.",True
@SnackbarTime,2013-11-29T23:27:38Z,0,"Excellent videos, I'm learning lots about Python. Keep up the good work.",True
